en,fr,it,de,es,ko,kana
":[name=Inn Lady Elara]:Good morning, \n[1]! You're finally awake!:[bloop_sound=voice_flowey,100,100]:",,,,":[name=Posadera Elara]:¡Buenos días, \n[1]! ¡Por fin despertaste!:[bloop_sound=voice_flowey,100,100]:",,
":[name=Inn Lady Elara]:Elder Theodrin told me about you!:[bloop_sound=voice_flowey,100,100]:",,,,":[name=Posadera Elara]:¡El Anciano Theodrin me contó sobre ti!:[bloop_sound=voice_flowey,100,100]:",,
":[name=Inn Lady Elara]:We don’t get many newcomers here in Holtheim. Everyone’s curious about you.:[bloop_sound=voice_flowey,100,100]:",,,,":[name=Posadera Elara]:No solemos recibir recién llegados aquí en Holtheim. Todos sienten curiosidad por ti.:[bloop_sound=voice_flowey,100,100]:",,
":[name=Inn Lady Elara]:Anyway, Elder Theodrin was looking for you. You should go see him at his house. :[bloop_sound=voice_flowey,100,100]:",,,,":[name=Posadera Elara]:En fin, el Anciano Theodrin te está buscando. Deberías ir a verlo a su casa.:[bloop_sound=voice_flowey,100,100]:",,
":[name=Inn Lady Elara]:Here, his house is the southeasternmost building in Holtheim.:[bloop_sound=voice_flowey,100,100]:",,,,":[name=Posadera Elara]:Mira, su casa es la que está más al sureste de Holtheim.:[bloop_sound=voice_flowey,100,100]:",,
":[name=Inn Lady Elara]:Best not keep Elder Theodrin waiting. I’ll be seeing you around \n[1]!:[bloop_sound=voice_flowey,100,100]:",,,,":[name=Posadera Elara]:Será mejor no hacer esperar al Anciano Theodrin. ¡Nos veremos luego, \n[1]!:[bloop_sound=voice_flowey,100,100]:",,
":[name=Inn Lady Elara]:Still here, \n[1]? :[bloop_sound=voice_flowey,100,100]:",,,,":[name=Posadera Elara]:¿Aún sigues aquí?:[bloop_sound=voice_flowey,100,100]:",,
":[name=Inn Lady Elara]:Here, this is Elder Theodrin's house.:[bloop_sound=voice_flowey,100,100]:",,,,":[name=Posadera Elara]:Mira, esta es la casa del Anciano Theodrin.:[bloop_sound=voice_flowey,100,100]:",,
":[name=\n[1]]:It seems I have lost my way.:[bloop_sound=voice_toriel,100,100]:",:[name=\[n1]]: Sí... creo que me he perdido.,,,":[name=\n[1]]:Sí... creo que me he perdido.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:I do not remember why I am here.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:No tengo idea de por qué estoy aquí.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:Truthfully... I remember very little at all.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:No recuerdo casi nada...:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:Even the Critters feel unfamiliar to me.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Incluso estos Critters me resultan desconocidos.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:No matter the cause... I will make sense of this.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Sea como sea, averiguaré lo que pasó.:[bloop_sound=voice_toriel,100,100]:",,
":[name=Elder Theodrin]:You’re on your feet. Good. :[bloop_sound=voice_asgore,100,100]:",,,,":[name=Anciano Theodrin]:Ya está de pie. Bien. :[bloop_sound=voice_asgore,100,100]:",,
":[name=\n[1]]:...You were the one who found me. :[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:...Usted fue quien me encontró.:[bloop_sound=voice_toriel,100,100]:",,
":[name=Elder Theodrin]:I was. :[bloop_sound=voice_asgore,100,100]:",,,,":[name=Anciano Theodrin]: Así es. Lo encontré en las afueras de Holtheim.:[bloop_sound=voice_asgore,100,100]:",,
":[name=Elder Theodrin]:You were in no state to explain yourself. :[bloop_sound=voice_asgore,100,100]:",,,,":[name=Anciano Theodrin]:No se encontraba en condiciones de dar explicaciones.:[bloop_sound=voice_asgore,100,100]:",,
":[name=Elder Theodrin]:Have things returned to you since? :[bloop_sound=voice_asgore,100,100]:",,,,":[name=Anciano Theodrin]:¿Ha recuperado algo de memoria desde entonces?:[bloop_sound=voice_asgore,100,100]:",,
":[name=\n[1]]:Very little. :[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Muy poco.:[bloop_sound=voice_toriel,100,100]:",,
