en,fr,it,de,es,ko,kana
,-,-,-,-,-,-
Quite an appealing move.,Une Démonstration qui plaît énormément.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.
Quite an appealing move.,Une Démonstration qui plaît énormément.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.
Effectiveness varies depending on when it is used.,Une Démonstration qui plaît plus ou moins selon le moment où elle est exécutée.,Effectiveness varies depending on when it is used.,Effectiveness varies depending on when it is used.,Effectiveness varies depending on when it is used.,Effectiveness varies depending on when it is used.,Effectiveness varies depending on when it is used.
Effectiveness varies depending on when it is used.,Une Démonstration qui plaît plus ou moins selon le moment où elle est exécutée.,Effectiveness varies depending on when it is used.,Effectiveness varies depending on when it is used.,Effectiveness varies depending on when it is used.,Effectiveness varies depending on when it is used.,Effectiveness varies depending on when it is used.
An appealing move that can be used repeatedly without boring the audience.,Peut être utilisé plusieurs fois sans ennuyer le public.,An appealing move that can be used repeatedly without boring the audience.,An appealing move that can be used repeatedly without boring the audience.,An appealing move that can be used repeatedly without boring the audience.,An appealing move that can be used repeatedly without boring the audience.,An appealing move that can be used repeatedly without boring the audience.
Excites the audience in any kind of contest.,Une Démonstration qui enthousiasme le public de tous les concours.,Excites the audience in any kind of contest.,Excites the audience in any kind of contest.,Excites the audience in any kind of contest.,Excites the audience in any kind of contest.,Excites the audience in any kind of contest.
Quite an appealing move.,Une Démonstration qui plaît énormément.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.
Quite an appealing move.,Une Démonstration qui plaît énormément.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.
Quite an appealing move.,Une Démonstration qui plaît énormément.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.
Quite an appealing move.,Une Démonstration qui plaît énormément.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.
Quite an appealing move.,Une Démonstration qui plaît énormément.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.
Badly startles all Critter that successfully showed their appeal.,Effraie beaucoup tous les Critter qui ont eu du succès.,Badly startles all Critter that successfully showed their appeal.,Badly startles all Critter that successfully showed their appeal.,Badly startles all Critter that successfully showed their appeal.,Badly startles all Critter that successfully showed their appeal.,Badly startles all Critter that successfully showed their appeal.
Affected by how well the previous Critter's move went.,Dépend de la façon dont la Démonstration du Critter précédent se passe.,Affected by how well the previous Critter's move went.,Affected by how well the previous Critter's move went.,Affected by how well the previous Critter's move went.,Affected by how well the previous Critter's move went.,Affected by how well the previous Critter's move went.
"Gets the Critter pumped up. Helps prevent nervousness, too.",Augmente la confiance du Critter et diminue sa nervosité.,"Gets the Critter pumped up. Helps prevent nervousness, too.","Gets the Critter pumped up. Helps prevent nervousness, too.","Gets the Critter pumped up. Helps prevent nervousness, too.","Gets the Critter pumped up. Helps prevent nervousness, too.","Gets the Critter pumped up. Helps prevent nervousness, too."
Quite an appealing move.,Une Démonstration qui plaît énormément.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.
Startles the last Critter to act before the user.,Effraie le Critter qui vient de faire sa Démonstration.,Startles the last Critter to act before the user.,Startles the last Critter to act before the user.,Startles the last Critter to act before the user.,Startles the last Critter to act before the user.,Startles the last Critter to act before the user.
Quite an appealing move.,Une Démonstration qui plaît énormément.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.
Causes the user to move later on the next turn.,Permet de faire la prochaine Démonstration plus tard au tour suivant.,Causes the user to move later on the next turn.,Causes the user to move later on the next turn.,Causes the user to move later on the next turn.,Causes the user to move later on the next turn.,Causes the user to move later on the next turn.
Prevents the user from being startled one time this turn.,Évite une fois d'être effrayé par un autre Critter.,Prevents the user from being startled one time this turn.,Prevents the user from being startled one time this turn.,Prevents the user from being startled one time this turn.,Prevents the user from being startled one time this turn.,Prevents the user from being startled one time this turn.
Temporarily stops the crowd from growing excited.,Rend le public moins enthousiaste pendant un certain temps après cette Démonstration.,Temporarily stops the crowd from growing excited.,Temporarily stops the crowd from growing excited.,Temporarily stops the crowd from growing excited.,Temporarily stops the crowd from growing excited.,Temporarily stops the crowd from growing excited.
Quite an appealing move.,Une Démonstration qui plaît énormément.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.
Quite an appealing move.,Une Démonstration qui plaît énormément.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.
Quite an appealing move.,Une Démonstration qui plaît énormément.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.
Badly startles Critter that used a move of the same type.,Effraie énormément les Critter qui ont fait une Démonstration du même type.,Badly startles Critter that used a move of the same type.,Badly startles Critter that used a move of the same type.,Badly startles Critter that used a move of the same type.,Badly startles Critter that used a move of the same type.,Badly startles Critter that used a move of the same type.
Works better the more the crowd is excited.,Une Démonstration qui plaît plus si le public est enthousiaste.,Works better the more the crowd is excited.,Works better the more the crowd is excited.,Works better the more the crowd is excited.,Works better the more the crowd is excited.,Works better the more the crowd is excited.
"A very appealing move, but after using this move, the user is more easily startled.","Une Démonstration très plaisante, mais le Critter sera aisément effrayé par la suite.","A very appealing move, but after using this move, the user is more easily startled.","A very appealing move, but after using this move, the user is more easily startled.","A very appealing move, but after using this move, the user is more easily startled.","A very appealing move, but after using this move, the user is more easily startled.","A very appealing move, but after using this move, the user is more easily startled."
Quite an appealing move.,Une Démonstration qui plaît énormément.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.
Makes audience expect little of other contestants.,Détourne l'attention du public des autres Critter.,Makes audience expect little of other contestants.,Makes audience expect little of other contestants.,Makes audience expect little of other contestants.,Makes audience expect little of other contestants.,Makes audience expect little of other contestants.
Quite an appealing move.,Une Démonstration qui plaît énormément.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.,Quite an appealing move.
