en,fr,it,de,es,ko,kana
What do you want to do with [VAR PKNICK(0000)]?,"Que voulez-vous faire [VAR 1408(0000,0001)][VAR PKNICK(0000)] ?","Cosa vuoi fare con [VAR 1500(0000,0000)][VAR PKNICK(0000)]?",[VAR PKNICK(0000)] wurde ausgewählt. Was nun?,"[VAR 1701(0000,0000)][VAR PKNICK(0000)] ha sido seleccionado.",[VAR PKNICK(0000)][VAR 1900(0002)] 어떻게 할까?,[VAR PKNICK(0000)]を　どうする？
Which Critter do you want to swap with?,Où voulez-vous déplacer ce Critter ?,Dove vuoi spostare questo Critter?,Mit welchem Critter austauschen?,¿Por qué Critter quieres cambiarlo?,어느 포켓몬과 교체할까?,どのポケモンと　いれかえる？
Choose a Critter.,Veuillez choisir un Critter.,Scegli un Critter.,Wähle ein Critter.,Elige un Critter.,포켓몬을 선택해 주십시오,ポケモンを　えらんでください
You received the [VAR ITEM2(0001)] from [VAR PKNICK(0000)].,"[VAR PKNICK(0000)] vous a remis [VAR 1400(0001,0000)][VAR ITEM2(0001)] !","Hai preso [VAR 1500(0001,0000)][VAR 0109(0001)] di [VAR PKNICK(0000)]!",[VAR ITEM2(0001)] von [VAR PKNICK(0000)] erhalten.,"¡Has recibido [VAR 1700(0001,0000)][VAR 0109(0001)] de [VAR PKNICK(0000)]!",[VAR PKNICK(0000)][VAR 1900(0005)]로부터 [VAR 0109(0001)][VAR 1900(0002)] 가져왔습니다!,[VAR PKNICK(0000)]から [VAR 0109(0001)]を　あずかりました！
[VAR PKNICK(0000)] isn’t holding anything.,[VAR PKNICK(0000)] ne tient rien.,[VAR PKNICK(0000)] non ha nessuno strumento!,[VAR PKNICK(0000)] trägt kein Item bei sich.,[VAR PKNICK(0000)] no lleva ningún objeto.,[VAR PKNICK(0000)][VAR 1900(0001)] 도구를 아무것도 지니고 있지 않습니다!,[VAR PKNICK(0000)]は　どうぐを なにも　もっていません！
You can’t receive the item because your Bag is full.,Vous ne pouvez pas transporter plus d’exemplaires de cet objet.,Hai raggiunto il limite per questo strumento!,Du hast keinen Platz dafür!,No te caben más en la Mochila.,가방이 가득 차서 도구를 받을 수 없습니다!,バッグが　いっぱいで どうぐを　うけとれません！
[VAR PKNAME(0000)] changed form!,[VAR PKNAME(0000)] a changé de forme !,[VAR PKNAME(0000)] ha cambiato forma!,[VAR PKNAME(0000)] hat seine Form verändert!,[VAR PKNAME(0000)] ha cambiado de forma.,[VAR PKNAME(0000)][VAR 1900(0001)] 다른 모습으로 변화했다,[VAR PKNAME(0000)]は べつの　すがたに　へんかした
Which item do you want to move?,Quel objet voulez-vous déplacer ?,Quale strumento vuoi spostare?,Welches Item möchtest du bewegen?,¿Qué objeto quieres mover?,어느 지닌물건을 이동할까?,どの　もちものを　いどうする？
Where do you want to move it to?,Où doit-il aller ?,Dove vuoi spostarlo?,An welche Stelle möchtest du es setzen?,¿Adónde quieres moverlo?,어디와 교체할까?,どこと　いれかえる？
Which Critter will you battle with?,Avec quels Critter voulez-vous combattre ?,Chi vuoi mandare in campo?,Mit welchem Critter möchtest du kämpfen?,¿Con qué Critter quieres combatir?,어느 포켓몬으로 싸우겠습니까?,どの　ポケモンで　たたかう？
