en,fr,it,de,es,ko,kana
"You awaken in a place you don't recognize, with little memory of how you got here. ","SirMalo vous attendait à votre arrivée sur l'Île et vous a invité à le rejoindre à la Tour, allez le retrouver !",[~ 0],[~ 0],"Despiertas en un lugar que no reconoces, con pocos recuerdos de cómo llegaste aquí. ",[~ 0],[~ 0]
[~ 1],Descr WIP,[~ 1],[~ 1],[~ 1],[~ 1],[~ 1]
The ghost of a young woman named Marissa haunts the surroundings of the Tower. She will only be able to pass to the other side if you help her to have no more regrets.,Le fantôme d'une jeune femme nommée Marissa hante les abords de la Tour. Elle ne pourra passer de l'autre côté que si vous l'aidez à ne plus avoir de regret.,[~ 2],[~ 2],[~ 2],[~ 2],[~ 2]
Elder Theodrin was looking for you! Speak with him to learn more about your situation.,[~ 3],[~ 3],[~ 3],¡El Anciano Theodrin te estaba buscando! Habla con él para saber más sobre tu situación.,[~ 3],[~ 3]
A proper pickaxe will be essential for traveling through the caves beyond the village.,[~ 4],[~ 4],[~ 4],Un pico adecuado será esencial para recorrer las cuevas más allá del pueblo.,[~ 4],[~ 4]
The strange familiarity you felt during battle still lingers in your mind. Perhaps the path ahead will reveal why.,[~ 5],[~ 5],[~ 5],La familiaridad que sentiste durante el combate aún permanece en tu mente. Quizá el camino por delante revele la razón.,[~ 5],[~ 5]
[~ 6],[~ 6],[~ 6],[~ 6],[~ 6],[~ 6],[~ 6]
[~ 7],[~ 7],[~ 7],[~ 7],[~ 7],[~ 7],[~ 7]
[~ 8],[~ 8],[~ 8],[~ 8],[~ 8],[~ 8],[~ 8]
[~ 9],[~ 9],[~ 9],[~ 9],[~ 9],[~ 9],[~ 9]
[~ 10],[~ 10],[~ 10],[~ 10],[~ 10],[~ 10],[~ 10]
[~ 11],[~ 11],[~ 11],[~ 11],[~ 11],[~ 11],[~ 11]
[~ 12],[~ 12],[~ 12],[~ 12],[~ 12],[~ 12],[~ 12]
[~ 13],[~ 13],[~ 13],[~ 13],[~ 13],[~ 13],[~ 13]
[~ 14],[~ 14],[~ 14],[~ 14],[~ 14],[~ 14],[~ 14]
[~ 15],[~ 15],[~ 15],[~ 15],[~ 15],[~ 15],[~ 15]
[~ 16],[~ 16],[~ 16],[~ 16],[~ 16],[~ 16],[~ 16]
[~ 17],[~ 17],[~ 17],[~ 17],[~ 17],[~ 17],[~ 17]
[~ 18],[~ 18],[~ 18],[~ 18],[~ 18],[~ 18],[~ 18]
[~ 19],[~ 19],[~ 19],[~ 19],[~ 19],[~ 19],[~ 19]
[~ 20],[~ 20],[~ 20],[~ 20],[~ 20],[~ 20],[~ 20]
[~ 21],[~ 21],[~ 21],[~ 21],[~ 21],[~ 21],[~ 21]
[~ 22],[~ 22],[~ 22],[~ 22],[~ 22],[~ 22],[~ 22]
[~ 23],[~ 23],[~ 23],[~ 23],[~ 23],[~ 23],[~ 23]
[~ 24],[~ 24],[~ 24],[~ 24],[~ 24],[~ 24],[~ 24]
[~ 25],[~ 25],[~ 25],[~ 25],[~ 25],[~ 25],[~ 25]
[~ 26],[~ 26],[~ 26],[~ 26],[~ 26],[~ 26],[~ 26]
[~ 27],[~ 27],[~ 27],[~ 27],[~ 27],[~ 27],[~ 27]
[~ 28],[~ 28],[~ 28],[~ 28],[~ 28],[~ 28],[~ 28]
[~ 29],[~ 29],[~ 29],[~ 29],[~ 29],[~ 29],[~ 29]
[~ 30],[~ 30],[~ 30],[~ 30],[~ 30],[~ 30],[~ 30]
[~ 31],[~ 31],[~ 31],[~ 31],[~ 31],[~ 31],[~ 31]
[~ 32],[~ 32],[~ 32],[~ 32],[~ 32],[~ 32],[~ 32]
[~ 33],[~ 33],[~ 33],[~ 33],[~ 33],[~ 33],[~ 33]
[~ 34],[~ 34],[~ 34],[~ 34],[~ 34],[~ 34],[~ 34]
[~ 35],[~ 35],[~ 35],[~ 35],[~ 35],[~ 35],[~ 35]
[~ 36],[~ 36],[~ 36],[~ 36],[~ 36],[~ 36],[~ 36]
[~ 37],[~ 37],[~ 37],[~ 37],[~ 37],[~ 37],[~ 37]
[~ 38],[~ 38],[~ 38],[~ 38],[~ 38],[~ 38],[~ 38]
[~ 39],[~ 39],[~ 39],[~ 39],[~ 39],[~ 39],[~ 39]
[~ 40],[~ 40],[~ 40],[~ 40],[~ 40],[~ 40],[~ 40]
[~ 41],[~ 41],[~ 41],[~ 41],[~ 41],[~ 41],[~ 41]
[~ 42],[~ 42],[~ 42],[~ 42],[~ 42],[~ 42],[~ 42]
