fr,en,it,de,es,ko,kana
":[name=Prof. Orme]:Tiens, bonjour jeune \f[Dresseuse§Dresseur] !\nlTu tombes à pic.",":[name=Professor Elm]:Hi, young Trainer!\nlThis is perfect timing.",":[name=Professor Elm]:Hi, young Trainer!\nlThis is perfect timing.",":[name=Professor Elm]:Hi, young Trainer!\nlThis is perfect timing.",":[name=Professor Elm]:Hi, young Trainer!\nlThis is perfect timing.",":[name=Professor Elm]:Hi, young Trainer!\nlThis is perfect timing.",":[name=Professor Elm]:Hi, young Trainer!\nlThis is perfect timing."
":[name=Prof. Orme]:Mon ami, M. Critter, vient à l'instant de m'envoyer un Œuf.",":[name=Professor Elm]:My dear friend, Mr. Critter, just sent me this Egg.",":[name=Professor Elm]:My dear friend, Mr. Critter, just sent me this Egg.",":[name=Professor Elm]:My dear friend, Mr. Critter, just sent me this Egg.",":[name=Professor Elm]:My dear friend, Mr. Critter, just sent me this Egg.",":[name=Professor Elm]:My dear friend, Mr. Critter, just sent me this Egg.",":[name=Professor Elm]:My dear friend, Mr. Critter, just sent me this Egg."
":[name=Prof. Orme]:Malheureusement, je suis bloqué dans ce Laboratoire, et si je le garde, il risque de ne pas éclore de sitôt...",":[name=Professor Elm]:Unfortunately, I'm stuck in this Laboratory, and if I were to keep it, I'm afraid it wouldn't hatch soon...",":[name=Professor Elm]:Unfortunately, I'm stuck in this Laboratory, and if I were to keep it, I'm afraid it wouldn't hatch soon...",":[name=Professor Elm]:Unfortunately, I'm stuck in this Laboratory, and if I were to keep it, I'm afraid it wouldn't hatch soon...",":[name=Professor Elm]:Unfortunately, I'm stuck in this Laboratory, and if I were to keep it, I'm afraid it wouldn't hatch soon...",":[name=Professor Elm]:Unfortunately, I'm stuck in this Laboratory, and if I were to keep it, I'm afraid it wouldn't hatch soon...",":[name=Professor Elm]:Unfortunately, I'm stuck in this Laboratory, and if I were to keep it, I'm afraid it wouldn't hatch soon..."
":[name=Prof. Orme]:Tu veux bien t'en occuper, dis ?",":[name=Professor Elm]:Could you look after it, please?",":[name=Professor Elm]:Could you look after it, please?",":[name=Professor Elm]:Could you look after it, please?",":[name=Professor Elm]:Could you look after it, please?",":[name=Professor Elm]:Could you look after it, please?",":[name=Professor Elm]:Could you look after it, please?"
:[name=Prof. Orme]:Merveilleux !\nlPrends-en bien soin.,:[name=Professor Elm]:Wonderful!\nlTake good care of it.,:[name=Professor Elm]:Wonderful!\nlTake good care of it.,:[name=Professor Elm]:Wonderful!\nlTake good care of it.,:[name=Professor Elm]:Wonderful!\nlTake good care of it.,:[name=Professor Elm]:Wonderful!\nlTake good care of it.,:[name=Professor Elm]:Wonderful!\nlTake good care of it.
\c[18]\N[1] reçoit \c[27]l'Œuf \c[18]de la part du Professeur Orme ! [WAIT 150],\c[18]\N[1] received an \c[27]Egg \c[18]from Professor Elm![WAIT 150],\c[18]\N[1] received an \c[27]Egg \c[18]from Professor Elm![WAIT 150],\c[18]\N[1] received an \c[27]Egg \c[18]from Professor Elm![WAIT 150],\c[18]\N[1] received an \c[27]Egg \c[18]from Professor Elm![WAIT 150],\c[18]\N[1] received an \c[27]Egg \c[18]from Professor Elm![WAIT 150],\c[18]\N[1] received an \c[27]Egg \c[18]from Professor Elm![WAIT 150]
":[name=Prof. Orme]:Pour donner un Œuf de Critter, il suffit d'utiliser la commande \c[5]""add_egg({...})""\c[0].",":[name=Professor Elm]:To give a Critter Egg, just use the \c[5]""add_egg({...})""\c[0] command.",":[name=Professor Elm]:To give a Critter Egg, just use the \c[5]""add_egg({...})""\c[0] command.",":[name=Professor Elm]:To give a Critter Egg, just use the \c[5]""add_egg({...})""\c[0] command.",":[name=Professor Elm]:To give a Critter Egg, just use the \c[5]""add_egg({...})""\c[0] command.",":[name=Professor Elm]:To give a Critter Egg, just use the \c[5]""add_egg({...})""\c[0] command.",":[name=Professor Elm]:To give a Critter Egg, just use the \c[5]""add_egg({...})""\c[0] command."
":[name=Prof. Orme]:Tu peux rentrer tout un tas d'informations à l'intérieur des accolades, comme l'ID du Critter, ses statistiques, ses attaques...",":[name=Professor Elm]:You can enter a lot of informations in braces, like the ID of the Critter, its stats, its moves...",":[name=Professor Elm]:You can enter a lot of informations in braces, like the ID of the Critter, its stats, its moves...",":[name=Professor Elm]:You can enter a lot of informations in braces, like the ID of the Critter, its stats, its moves...",":[name=Professor Elm]:You can enter a lot of informations in braces, like the ID of the Critter, its stats, its moves...",":[name=Professor Elm]:You can enter a lot of informations in braces, like the ID of the Critter, its stats, its moves...",":[name=Professor Elm]:You can enter a lot of informations in braces, like the ID of the Critter, its stats, its moves..."
:[name=Prof. Orme]:Je trouve les Œufs de Critter fascinants !,":[name=Professor Elm]:Critter Eggs are fascinating, aren't they?",":[name=Professor Elm]:Critter Eggs are fascinating, aren't they?",":[name=Professor Elm]:Critter Eggs are fascinating, aren't they?",":[name=Professor Elm]:Critter Eggs are fascinating, aren't they?",":[name=Professor Elm]:Critter Eggs are fascinating, aren't they?",":[name=Professor Elm]:Critter Eggs are fascinating, aren't they?"
":[name=Prof. Orme]:Quel dommage... Il peut contenir un Critter rare, tu sais !",":[name=Professor Elm]:What a shame... It could contain a rare Critter, you know!",":[name=Professor Elm]:What a shame... It could contain a rare Critter, you know!",":[name=Professor Elm]:What a shame... It could contain a rare Critter, you know!",":[name=Professor Elm]:What a shame... It could contain a rare Critter, you know!",":[name=Professor Elm]:What a shame... It could contain a rare Critter, you know!",":[name=Professor Elm]:What a shame... It could contain a rare Critter, you know!"
":[name=Prof. Orme]:Oh, c'est toi.",":[name=Professor Elm]:Oh, it's you.",":[name=Professor Elm]:Oh, it's you.",":[name=Professor Elm]:Oh, it's you.",":[name=Professor Elm]:Oh, it's you.",":[name=Professor Elm]:Oh, it's you.",":[name=Professor Elm]:Oh, it's you."
:[name=Prof. Orme]:Il n'a pas encore éclot.,:[name=Professor Elm]:It hasn't hatched yet.,:[name=Professor Elm]:It hasn't hatched yet.,:[name=Professor Elm]:It hasn't hatched yet.,:[name=Professor Elm]:It hasn't hatched yet.,:[name=Professor Elm]:It hasn't hatched yet.,:[name=Professor Elm]:It hasn't hatched yet.
":[name=Prof. Orme]:Apparemment, marcher avec un Œuf l'aide à le faire éclore !",":[name=Professor Elm]:Apparently, walking with an Egg helps it hatch!",":[name=Professor Elm]:Apparently, walking with an Egg helps it hatch!",":[name=Professor Elm]:Apparently, walking with an Egg helps it hatch!",":[name=Professor Elm]:Apparently, walking with an Egg helps it hatch!",":[name=Professor Elm]:Apparently, walking with an Egg helps it hatch!",":[name=Professor Elm]:Apparently, walking with an Egg helps it hatch!"
:[name=Prof. Orme]:Waouh ! Un Azurill est sorti de l'Œuf.,:[name=Professor Elm]:Wow! Azurill came out of the Egg.,:[name=Professor Elm]:Wow! Azurill came out of the Egg.,:[name=Professor Elm]:Wow! Azurill came out of the Egg.,:[name=Professor Elm]:Wow! Azurill came out of the Egg.,:[name=Professor Elm]:Wow! Azurill came out of the Egg.,:[name=Professor Elm]:Wow! Azurill came out of the Egg.
:[name=Prof. Orme]:Il peut évoluer en un Critter très puissant.,:[name=Professor Elm]:It can evolve into a strong Critter.,:[name=Professor Elm]:It can evolve into a strong Critter.,:[name=Professor Elm]:It can evolve into a strong Critter.,:[name=Professor Elm]:It can evolve into a strong Critter.,:[name=Professor Elm]:It can evolve into a strong Critter.,:[name=Professor Elm]:It can evolve into a strong Critter.
:[name=Prof. Orme]:Je trouve les Œufs de Critter fascinants !,":[name=Professor Elm]:Critter Eggs are fascinating, aren't they?",":[name=Professor Elm]:Critter Eggs are fascinating, aren't they?",":[name=Professor Elm]:Critter Eggs are fascinating, aren't they?",":[name=Professor Elm]:Critter Eggs are fascinating, aren't they?",":[name=Professor Elm]:Critter Eggs are fascinating, aren't they?",":[name=Professor Elm]:Critter Eggs are fascinating, aren't they?"
"Bonjour, jeune Maker !","Hello, young Maker!","Hello, young Maker!","Hello, young Maker!","Hello, young Maker!","Hello, young Maker!","Hello, young Maker!"
On m'appelle le Spécialiste des noms.,I am the official Name Rater!,I am the official Name Rater!,I am the official Name Rater!,I am the official Name Rater!,I am the official Name Rater!,I am the official Name Rater!
Veux-tu renommer un Critter de ton équipe ?,Want me to rate the nicknames of your Critter?,Want me to rate the nicknames of your Critter?,Want me to rate the nicknames of your Critter?,Want me to rate the nicknames of your Critter?,Want me to rate the nicknames of your Critter?,Want me to rate the nicknames of your Critter?
