en,fr,it,de,es,ko,kana
":[name=\n[1]]:Just an ordinary trash bin...:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Es solo un cubo de basura común...:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:There is nothing of value here.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:No hay nada de valor aquí.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:There appears to be something here.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Parece haber algo aquí.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:It seems there was nothing after all.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Al final, no había nada.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:The wardrobe is neatly organized.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:El armario está organizado de forma muy práctica.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:Mostly clothes and spare fabrics.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Principalmente hay ropa y telas de repuesto.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:A small wooden drawer. It contains various household items.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Un pequeño cajón de madera. Contiene varios artículos del hogar.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:A carefully maintained flower pot.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Un florero antentamente cuidado.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:The flowers appear healthy despite the cave air.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Las flores parecen sanas a pesar del aire de la cueva.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:It appears to contain supplies.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Parece contener suministros.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:It seems rather fragile.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Parece bastante frágil.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:A well-maintained suit of armor.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Una armadura bien conservada.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:Though polished, signs of battle remain visible.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Aunque pulido, aún se aprecian las marcas de batalla.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:The craftsmanship appears exceptional.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:La artesanía en esta pieza parece excepcional.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:The blade looks freshly sharpened.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:La hoja parece recién afilada.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:It has clearly seen many battles.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Claramente ha visto muchas batallas.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:A heavy iron anvil.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Un pesado yunque de hierro.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:Countless tools and weapons must have been forged upon it.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Innumerables herramientas debieron haber sido forjadas en ella.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:The metal reflects a warm orange glow.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:El metal refleja un cálido brillo naranja.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:Heavy iron ingots.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Lingotes de hierro pesados.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:The furnace burns intensely.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:El horno arde intensamente.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:The heat radiating from it fills the entire forge.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:El calor que irradia llena toda la fragua.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:Cold ashes rest at the bottom of the furnace.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Cenizas frías reposan en el fondo del horno.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:A polished suit of armor stands outside the forge.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Una armadura pulida se encuentra fuera de la forja.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:Perhaps it was placed here to display the blacksmith's craftsmanship.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Quizás se colocó aquí para mostrar la maestría del herrero.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:This must be one of Durgan's finest works.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Esta debe ser de las mejores obras de Durgan.:[bloop_sound=voice_toriel,100,100]:",,
":[name=\n[1]]:Its polished surface is nearly flawless.:[bloop_sound=voice_toriel,100,100]:",,,,":[name=\n[1]]:Su superficie pulida es casi impecable.:[bloop_sound=voice_toriel,100,100]:",,
