en,fr,it,de,es,ko,kana
????? Critter,Critter ?????,Critter ?????,???,Critter (?),?????포켓몬,？？？？？ポケモン
Bat Critter,Critter Graine,Critter Seme,Samen-Critter,Critter Murciélago,씨앗포켓몬,たねポケモン
Bat Critter,Critter Graine,Critter Seme,Samen-Critter,Critter Murciélago,씨앗포켓몬,たねポケモン
-,Critter Graine,Critter Seme,Samen-Critter,Critter Semilla,씨앗포켓몬,たねポケモン
-,Critter Lézard,Critter Lucertola,Echsen-Critter,Critter Lagartija,도롱뇽포켓몬,とかげポケモン
-,Critter Flamme,Critter Fiamma,Flammen-Critter,Critter Llama,화염포켓몬,かえんポケモン
-,Critter Flamme,Critter Fiamma,Flammen-Critter,Critter Llama,화염포켓몬,かえんポケモン
-,Critter Minitortue,Critter Tartaghina,Minikröten-Critter,Critter Tortuguita,꼬마거북포켓몬,かめのこポケモン
-,Critter Tortue,Critter Tartaruga,Kröten-Critter,Critter Tortuga,거북포켓몬,かめポケモン
Candle Critter,Critter Carapace,Critter Crostaceo,Panzertier-Critter,Critter Vela,껍질포켓몬,こうらポケモン
Candle Critter,Critter Ver,Critter Baco,Wurm-Critter,Critter vela,애벌레포켓몬,いもむしポケモン
-,Critter Cocon,Critter Bozzolo,Kokon-Critter,Critter Capullo,번데기포켓몬,さなぎポケモン
-,Critter Papillon,Critter Farfalla,Falter-Critter,Critter Mariposa,나비포켓몬,ちょうちょポケモン
Candle Critter,Critter Insectopic,Critter Millepiedi,Raupe,Critter Vela,송충이포켓몬,けむしポケモン
-,Critter Cocon,Critter Bozzolo,Kokon,Critter Capullo,번데기포켓몬,さなぎポケモン
-,Critter Guêpoison,Critter Velenape,Giftbiene,Critter Abeja Veneno,독벌포켓몬,どくばちポケモン
-,Critter Minoiseau,Critter Uccellino,Kleinvogel,Critter Pajarito,아기새포켓몬,ことりポケモン
Wax Candle Critter,Critter Oiseau,Critter Uccello,Vogel,Critter Pájaro,새포켓몬,とりポケモン
-,Critter Oiseau,Critter Uccello,Vogel,Critter Pájaro,새포켓몬,とりポケモン
-,Critter Souris,Critter Topo,Maus,Critter Ratón,쥐포켓몬,ねずみポケモン
-,Critter Souris,Critter Topo,Maus,Critter Ratón,쥐포켓몬,ねずみポケモン
Earth Worm Critter,Critter Minoiseau,Critter Uccellino,Kleinvogel,Critter Gusano de Tierra,아기새포켓몬,ことりポケモン
Earth Worm Critter,Critter Bec-Oiseau,Critter Becco,Pickvogel,Critter Gusano de Tierra,부리포켓몬,くちばしポケモン
-,Critter Serpent,Critter Serpente,Schlange,Critter Serpiente,뱀포켓몬,へびポケモン
-,Critter Cobra,Critter Cobra,Kobra,Critter Cobra,코브라포켓몬,コブラポケモン
Mushroom Critter,Critter Souris,Critter Topo,Maus-Critter,Critter Hongo,쥐포켓몬,ねずみポケモン
Mushroom Critter,Critter Souris,Critter Topo,Maus-Critter,Critter Hongo,쥐포켓몬,ねずみポケモン
-,Critter Souris,Critter Topo,Maus-Critter,Critter Ratón,쥐포켓몬,ねずみポケモン
-,Critter Souris,Critter Topo,Maus-Critter,Critter Ratón,쥐포켓몬,ねずみポケモン
-,Critter Vénépic,Critter Velenago,Giftdorn-Critter,Critter Pin Veneno,독침포켓몬,どくばりポケモン
-,Critter Vénépic,Critter Velenago,Giftdorn-Critter,Critter Pin Veneno,독침포켓몬,どくばりポケモン
Light Mushroom Critter,Critter Perceur,Critter Trapano,Bohrer-Critter,Critter Hongo de Luz,드릴포켓몬,ドリルポケモン
-,Critter Vénépic,Critter Velenago,Giftdorn-Critter,Critter Pin Veneno,독침포켓몬,どくばりポケモン
-,Critter Vénépic,Critter Velenago,Giftdorn-Critter,Critter Pin Veneno,독침포켓몬,どくばりポケモン
-,Critter Perceur,Critter Trapano,Bohrer-Critter,Critter Taladro,드릴포켓몬,ドリルポケモン
-,Critter Fée,Critter Fata,Feen-Critter,Critter Hada,요정포켓몬,ようせいポケモン
-,Critter Fée,Critter Fata,Feen-Critter,Critter Hada,요정포켓몬,ようせいポケモン
Donkey Critter,Critter Renard,Critter Volpe,Fuchs-Critter,Critter Zorro,여우포켓몬,きつねポケモン
Donkey Critter,Critter Renard,Critter Volpe,Fuchs-Critter,Critter Zorro,여우포켓몬,きつねポケモン
-,Critter Bouboule,Critter Pallone,Ballon-Critter,Critter Globo,풍선포켓몬,ふうせんポケモン
-,Critter Bouboule,Critter Pallone,Ballon-Critter,Critter Globo,풍선포켓몬,ふうせんポケモン
